geoid,geoid20,year,denom_total_pop,severe_collision_count,pedestrian_collision_count,bicycle_collision_count,pedestrian_collision_rate,bicycle_collision_rate,severe_collision_rate
1400000US06037101110,6037101110,2022,4014,2,1,0,24.912806,0,49.825611
1400000US06037101122,6037101122,2022,4164,1,0,0,0,0,24.015369
1400000US06037101220,6037101220,2022,3481,1,1,0,28.727377,0,28.727377
1400000US06037101221,6037101221,2022,3756,4,0,0,0,0,106.49627
1400000US06037101222,6037101222,2022,2808,4,0,1,0,35.612537,142.45015
1400000US06037101300,6037101300,2022,4071,2,0,0,0,0,49.127979
1400000US06037102103,6037102103,2022,1834,2,1,1,54.525627,54.525627,109.05125
1400000US06037102104,6037102104,2022,4033,2,0,0,0,0,49.590874
1400000US06037102105,6037102105,2022,1610,2,1,0,62.111801,0,124.2236
1400000US06037102107,6037102107,2022,3577,5,0,0,0,0,139.78194
1400000US06037103101,6037103101,2022,2726,3,0,1,0,36.683784,110.05136
1400000US06037103102,6037103102,2022,4550,3,1,0,21.978022,0,65.934067
1400000US06037103201,6037103201,2022,4291,3,0,0,0,0,69.913773
1400000US06037103202,6037103202,2022,2010,3,0,0,0,0,149.25374
1400000US06037103300,6037103300,2022,3816,2,1,0,26.20545,0,52.4109
1400000US06037103401,6037103401,2022,2391,2,0,0,0,0,83.647011
1400000US06037103402,6037103402,2022,3829,1,0,0,0,0,26.11648
1400000US06037104103,6037104103,2022,4281,1,0,0,0,0,23.359028
1400000US06037104105,6037104105,2022,6195,1,0,0,0,0,16.14205
1400000US06037104108,6037104108,2022,4962,2,1,0,20.153164,0,40.306328
1400000US06037104124,6037104124,2022,4006,2,0,0,0,0,49.925114
1400000US06037104201,6037104201,2022,4636,9,2,0,43.14064,0,194.13287
1400000US06037104203,6037104203,2022,5182,3,0,0,0,0,57.892704
1400000US06037104204,6037104204,2022,3691,2,0,0,0,0,54.185856
1400000US06037104310,6037104310,2022,4392,6,1,0,22.768671,0,136.61201
1400000US06037104321,6037104321,2022,2890,3,0,0,0,0,103.80623
1400000US06037104322,6037104322,2022,1787,10,1,1,55.959709,55.959709,559.59711
1400000US06037104401,6037104401,2022,2977,3,0,0,0,0,100.77259
1400000US06037104403,6037104403,2022,2352,12,2,0,85.034012,0,510.20407
1400000US06037104404,6037104404,2022,3323,3,0,1,0,30.093288,90.279869
1400000US06037104500,6037104500,2022,3301,3,0,0,0,0,90.881554
1400000US06037104610,6037104610,2022,3122,2,0,0,0,0,64.061501
1400000US06037104701,6037104701,2022,3891,6,0,0,0,0,154.20201
1400000US06037104703,6037104703,2022,2298,3,1,0,43.516102,0,130.54831
1400000US06037104821,6037104821,2022,3431,5,3,0,87.438065,0,145.7301
1400000US06037104822,6037104822,2022,2461,2,0,0,0,0,81.267776
1400000US06037104823,6037104823,2022,3362,3,0,1,0,29.7442,89.232597
1400000US06037104824,6037104824,2022,2657,2,0,0,0,0,75.272865
1400000US06037106010,6037106010,2022,3578,1,1,0,27.948574,0,27.948574
1400000US06037106111,6037106111,2022,4859,3,1,0,20.580366,0,61.7411
1400000US06037106112,6037106112,2022,5125,2,0,0,0,0,39.024391
1400000US06037106113,6037106113,2022,3871,1,0,1,0,25.833118,25.833118
1400000US06037106114,6037106114,2022,6800,12,2,0,29.411764,0,176.47058
1400000US06037106403,6037106403,2022,3701,7,3,0,81.059174,0,189.13808
1400000US06037106405,6037106405,2022,4340,2,2,0,46.082951,0,46.082951
1400000US06037106406,6037106406,2022,6534,5,0,1,0,15.304561,76.522804
1400000US06037106407,6037106407,2022,2352,1,0,0,0,0,42.517006
1400000US06037106408,6037106408,2022,3733,1,0,0,0,0,26.788107
1400000US06037106510,6037106510,2022,5717,8,0,0,0,0,139.93353
1400000US06037106520,6037106520,2022,5545,1,0,0,0,0,18.034266
1400000US06037106603,6037106603,2022,3544,4,0,0,0,0,112.86681
1400000US06037106604,6037106604,2022,4010,3,0,0,0,0,74.812965
1400000US06037106641,6037106641,2022,2197,2,0,0,0,0,91.033226
1400000US06037106643,6037106643,2022,4306,4,0,0,0,0,92.893639
1400000US06037106645,6037106645,2022,3769,1,0,0,0,0,26.532236
1400000US06037106646,6037106646,2022,3011,6,1,0,33.211559,0,199.26935
1400000US06037106648,6037106648,2022,4581,7,2,0,43.658588,0,152.80507
1400000US06037106649,6037106649,2022,2776,2,0,0,0,0,72.046112
1400000US06037107010,6037107010,2022,3177,6,0,1,0,31.476236,188.85741
1400000US06037107020,6037107020,2022,4610,2,1,0,21.691975,0,43.383949
1400000US06037108101,6037108101,2022,2274,1,0,0,0,0,43.975372
1400000US06037108102,6037108102,2022,3596,1,0,0,0,0,27.808676
1400000US06037108103,6037108103,2022,2968,4,1,0,33.692722,0,134.77089
1400000US06037108104,6037108104,2022,1738,1,0,1,0,57.537399,57.537399
1400000US06037108202,6037108202,2022,9302,2,0,1,0,10.750377,21.500753
1400000US06037108204,6037108204,2022,1780,3,0,0,0,0,168.53932
1400000US06037109100,6037109100,2022,2675,8,0,0,0,0,299.06543
1400000US06037109200,6037109200,2022,3161,3,0,0,0,0,94.906677
1400000US06037109300,6037109300,2022,2864,2,0,0,0,0,69.832405
1400000US06037109400,6037109400,2022,4175,3,0,1,0,23.952095,71.856285
1400000US06037109500,6037109500,2022,3699,8,3,1,81.103004,27.034334,216.27467
1400000US06037109601,6037109601,2022,4831,4,1,0,20.699648,0,82.798592
1400000US06037109603,6037109603,2022,3900,2,0,0,0,0,51.282051
1400000US06037109604,6037109604,2022,2900,7,0,0,0,0,241.3793
1400000US06037109700,6037109700,2022,4333,6,1,0,23.078699,0,138.47218
1400000US06037109800,6037109800,2022,4584,1,0,0,0,0,21.815008
1400000US06037111100,6037111100,2022,3076,1,0,0,0,0,32.509754
1400000US06037111201,6037111201,2022,3256,3,0,1,0,30.71253,92.137589
1400000US06037111204,6037111204,2022,5600,12,0,0,0,0,214.28572
1400000US06037111205,6037111205,2022,3879,1,0,0,0,0,25.77984
1400000US06037111206,6037111206,2022,4363,2,0,0,0,0,45.840019
1400000US06037111302,6037111302,2022,4880,2,1,0,20.491804,0,40.983608
1400000US06037111303,6037111303,2022,4712,5,0,0,0,0,106.11205
1400000US06037111304,6037111304,2022,3106,2,1,0,32.195751,0,64.391502
1400000US06037111401,6037111401,2022,2293,1,0,0,0,0,43.610989
1400000US06037111402,6037111402,2022,6146,3,1,0,16.270744,0,48.812237
1400000US06037113101,6037113101,2022,3525,3,0,0,0,0,85.106384
1400000US06037113102,6037113102,2022,2784,1,0,0,0,0,35.91954
1400000US06037113211,6037113211,2022,4248,5,0,0,0,0,117.70245
1400000US06037113212,6037113212,2022,2888,5,2,0,69.252075,0,173.13019
1400000US06037113213,6037113213,2022,5087,3,0,1,0,19.657951,58.973854
1400000US06037113231,6037113231,2022,2161,4,0,0,0,0,185.09949
1400000US06037113232,6037113232,2022,4596,5,0,1,0,21.758051,108.79025
1400000US06037113234,6037113234,2022,5653,9,3,0,53.069168,0,159.2075
1400000US06037113235,6037113235,2022,1727,1,0,0,0,0,57.903881
1400000US06037113237,6037113237,2022,4725,8,1,0,21.164021,0,169.31216
1400000US06037113238,6037113238,2022,4547,3,0,0,0,0,65.97757
1400000US06037113239,6037113239,2022,2343,3,0,0,0,0,128.04097
1400000US06037113301,6037113301,2022,4830,9,0,1,0,20.703934,186.3354
